Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId,Filter,Id
0063100000fGm3jAAC,TurkeyOpp-1167,Banner,2016-06-01,2016-06-30,1858.2,Elca Kozmetik20166Clinique HaziranAffoceanMS,Net Cost (Calc Margin),MediaTrader,Affocean,0,0,Externally Managed,Triggers,Kadin,0.4,CPC,1,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4nAAC
0063100000fGlxZAAS,TurkeyOpp-1615,Banner,2016-02-25,2016-02-29,844.8,Vodafone20162Vodafone Big Bang Erkek & SporDeskfiveMS,Net Cost (Calc Margin),MediaTrader,Deskfive,2500,422.4,Externally Managed,Triggers,Erkek,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4oAAC
0063100000fGm3DAAS,TurkeyOpp-1,Banner,2016-05-24,2016-05-31,1852.2,Pierre Cardin20165Pierre Cardin 1 Gunluk IsLigatusMX,Net Cost (Calc Margin),MediaTrader,Ligatus,4000,1419.5,Externally Managed,Triggers,Erkek,0.8,CPC,0.2336,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,3200,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4pAAC
0063100000fGlw6AAC,TurkeyOpp-1156,Banner,2016-01-18,2016-01-31,2708.4,KKB20161KKB Findeks BireyselAdmaticMC,Net Cost (Calc Margin),MediaTrader,Admatic,10000,1354.2,Externally Managed,Triggers,Finans,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,4000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4qAAC
0063100000fGm2YAAS,TurkeyOpp-587,Banner,2016-05-02,2016-05-18,3000,Pierre Cardin20165Pierre Cardin MayisLigatusMX,Net Cost (Calc Margin),MediaTrader,Ligatus,5000,2000,Externally Managed,Triggers,Erkek,0.6,CPC,0.3333,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,3000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4rAAC
0063100000fGm57AAC,TurkeyOpp-479,Banner,2016-08-01,2016-08-30,591.2,Teknosa20168Teknosa Turuncu Indirim 12-15 AgustosMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,1500,295.6,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,600,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4sAAC
0063100000fGm2hAAC,TurkeyOpp-1761,Banner,2016-04-06,2016-04-30,1884.4,KKB20164KKB TVCDeskFiveMC,Net Cost (Calc Margin),MediaTrader,DeskFive,7500,942.2,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4tAAC
0063100000fGm7HAAS,TurkeyOpp-589,Banner,2016-10-01,2016-10-30,2471.8,Vodafone201610Vodafone 52 Hafta Insaat Sektoru Hedefli EkimAffoceanMS,Net Cost (Calc Margin),MediaTrader,Affocean,5000,920.8,Externally Managed,Triggers,Iletisim,0.6,CPC,0.6275,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4uAAC
0063100000fGm5pAAC,TurkeyOpp-723,Banner,2016-09-01,2016-09-25,1507,Vodafone20169Vodafone Red Budget Html5 EylulReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,3750,750,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.5023,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1500,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4wAAC
0063100000fGm6YAAS,TurkeyOpp-55,Banner,2016-09-22,2016-09-30,2294.8,Castrol20169Castrol Carama EylulAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,6500,1208.6,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.4733,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,2600,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4xAAC
0063100000fGlypAAC,TurkeyOpp-1405,Banner,2016-04-08,2016-04-30,1530,Lassa20164Lassa Satis NisanMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,5000,765,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4zAAC
0063100000fGm2qAAC,TurkeyOpp-1024,Banner,2016-04-18,2016-04-30,1895.4,Visa20164Visa Formulea ELigatusMEC,Net Cost (Calc Margin),MediaTrader,Ligatus,5500,1263.6,Externally Managed,Triggers,Kadin,0.6,CPC,0.3333,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,3300,012i0000001EB0yAAG,Turkey_LR,a013100000fLq50AAC
0063100000fGlySAAS,TurkeyOpp-918,Banner,2016-03-03,2016-03-31,3854.4,Saxo Capital20163Saxo Capital Stock PriceGoClickMX,Net Cost (Calc Margin),MediaTrader,GoClick,4545,1000,Externally Managed,Triggers,Ekonomi,0.8,CPC,0.7406,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3636.36,012i0000001EB0yAAG,Turkey_LR,a013100000fLq52AAC
0063100000fGm4bAAC,TurkeyOpp-1420,Banner,2016-07-01,2016-07-31,960.8,Akbank20167Akbank MTV TemmuzMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,2500,480.4,Externally Managed,Triggers,Finans,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq53AAC
0063100000fGlwkAAC,TurkeyOpp-1233,Banner,2016-02-24,2016-02-29,934.8,Akbank20162Akbank Case CampusPopMarkerMC,Net Cost (Calc Margin),MediaTrader,PopMarker,3000,467.4,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1200,012i0000001EB0yAAG,Turkey_LR,a013100000fLq54AAC
0063100000fGm2eAAC,TurkeyOpp-244,Banner,2016-05-01,2016-05-31,839.86,Elca Kozmetik20165EsteeLauder MayisMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,5000,1000,Externally Managed,Triggers,Kadin,0.4,CPC,-0.1907,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq55AAC
0063100000fGm8jAAC,TurkeyOpp-294,Banner,2016-11-01,2016-11-30,10.8,EsteeLauder201611Estee Lauder KasimAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,10000,5.4,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,4000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq57AAC
0063100000fGlyrAAC,TurkeyOpp-552,Banner,2016-04-01,2016-04-30,2092.8,Akbank20164Akbank BKEGoClickMC,Net Cost (Calc Margin),MediaTrader,GoClick,7273,1600,Externally Managed,Triggers,Kadin,0.4,CPC,0.2355,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2909.09,012i0000001EB0yAAG,Turkey_LR,a013100000fLq58AAC
0063100000fGlxIAAS,TurkeyOpp-233,Banner,2016-03-01,2016-03-31,0,Elca Kozmetik20163Estee Lauder MartAffoceanMS,Net Cost (Calc Margin),MediaTrader,Affocean,0,445,Externally Managed,Triggers,Kadin,0,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG,Turkey_LR,a013100000fLq59AAC
0063100000fGm5SAAS,TurkeyOpp-292,Banner,2016-08-01,2016-08-30,2006.6,GSK20168GSK Sensodyne Check up AgustosAppnexusMC,Net Cost (Calc Margin),MediaTrader,Appnexus,7500,736.28,Externally Managed,Triggers,Saglik,0.4,CPC,0.6331,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,3000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5AAAS
0063100000fGm34AAC,TurkeyOpp-1512,Banner,2016-05-27,2016-05-31,1006,Vodafone20165Vodafone MandelaMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,2500,500,Externally Managed,Triggers,Kadin,0.4,CPC,0.503,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5BAAS
0063100000fGlyRAAS,TurkeyOpp-229,Banner,2016-04-20,2016-04-30,4555.2,Mavi20164Mavi SS16 NisanPopmarkerMS,Net Cost (Calc Margin),MediaTrader,Popmarker,15000,2277.6,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,6000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5CAAS
0063100000fGm7sAAC,TurkeyOpp-80,Banner,2016-11-01,2016-11-08,952.8,Vodafone201611Vodafone Maraton KasimMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,1335,267,Externally Managed,Triggers,Spor,0.4,CPC,0.7198,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,534,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5DAAS
0063100000fGlyvAAC,TurkeyOpp-1052,Banner,2016-04-01,2016-04-30,716.8,Akbank20164Akbank Ihtiyac KredisiReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,3500,700,Externally Managed,Triggers,Kadin,0.4,CPC,0.0234,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1400,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5EAAS
0063100000fGlyLAAS,TurkeyOpp-240,Banner,2016-04-27,2016-04-30,628,Elca Kozmetik20164Estee Lauder InfinitePopmarkerMS,Net Cost (Calc Margin),MediaTrader,Popmarker,3000,314,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,1200,012i0000001EB0yAAG,Turkey_LR,a013100000fLq5GAAS
