Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000fGPjvAAG,TurkeyLR:1912,Banner,2016-02-01,2016-02-29,3641.6,Lufthansa20162Lufthansa BaselineReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,4000,800,Externally Managed,Triggers,Seyahat,0.4,CPC,0.7803,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGm42AAC,TurkeyLR:35,Banner,2016-06-01,2016-06-30,1387.6,Lufthansa20166Lufthansa Baseline HaziranTurkTicaretMS,Net Cost (Calc Margin),MediaTrader,TurkTicaret,4000,520.35,Externally Managed,Triggers,Seyahat,0.4,CPC,0.625,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGm8IAAS,TurkeyLR:574,Banner,2016-11-01,2016-11-27,1000,Vodafone201611Vodafone Red Budget Html5 KasimReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,2500,410,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.59,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGm4VAAS,TurkeyLR:1336,Banner,2016-07-01,2016-07-31,1724.8,Elca Kozmetik20167MAC TemmuzLigatusMS,Net Cost (Calc Margin),MediaTrader,Ligatus,5000,1500,Externally Managed,Triggers,Kadin,0.4,CPC,0.1303,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,2000,012i0000001EB0yAAG
0063100000fGm5KAAS,TurkeyLR:1501,Banner,2016-08-01,2016-08-30,1408.35,Visa20168Visa PY AgustosAppnexusMEC,Net Cost (Calc Margin),MediaTrader,Appnexus,10000,1321.26,Externally Managed,Triggers,Finans,0.45,CPC,0.0618,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,4500,012i0000001EB0yAAG
0063100000fGm6XAAS,TurkeyLR:1503,Banner,2016-09-09,2016-09-30,-1728,Vodafone20169Vodafone Welcome Turkey App EylulMoveMS,Net Cost (Calc Margin),MediaTrader,Move,1250,7500,Externally Managed,Triggers,Teknoloji,8,CPD,5.3403,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,10000,012i0000001EB0yAAG
0063100000fGlz2AAC,TurkeyLR:1713,Banner,2016-04-14,2016-04-30,1463,Brissa20164Brissa - Lastik.com.trMynetMC,Net Cost (Calc Margin),MediaTrader,Mynet,3333,877.8,Externally Managed,Triggers,Kadin,0.5,CPC,0.4,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1666.67,012i0000001EB0yAAG
0063100000fGlxZAAS,TurkeyLR:1996,Banner,2016-03-03,2016-03-31,1346.8,Vodafone20163Vodafone Big Bang Erkek & SporDeskfiveMS,Net Cost (Calc Margin),MediaTrader,Deskfive,4000,673.4,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGlz3AAC,TurkeyLR:1003,Banner,2016-04-08,2016-04-30,1308.2,Bridgestone20164Bridgestone Data TargetingReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,6000,1500,Externally Managed,Triggers,Kadin,0.4,CPC,-0.1466,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2400,012i0000001EB0yAAG
0063100000fGlxLAAS,TurkeyLR:1520,Banner,2016-02-26,2016-02-29,800,KKB20162KKB EntegreMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,2000,400,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,800,012i0000001EB0yAAG
0063100000fGm2hAAC,TurkeyLR:1648,Banner,2016-03-09,2016-03-31,2400,KKB20163KKB TVCPopMarkerMC,Net Cost (Calc Margin),MediaTrader,PopMarker,6000,1193.6,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.5027,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,2400,012i0000001EB0yAAG
0063100000fGm41AAC,TurkeyLR:140,Banner,2016-06-21,2016-06-30,2219.4,Lilly20166Lilly HaziranReklamStoreMEC,Net Cost (Calc Margin),MediaTrader,ReklamStore,15000,739.8,Externally Managed,Triggers,Alisveris,0.6,CPC,0.6667,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,9000,012i0000001EB0yAAG
0063100000fGm6fAAC,TurkeyLR:184,Banner,2016-09-01,2016-09-30,1500,Altinbas20169Altinbas Alyans Kampanyasi EylulReklamstoreMEC,Net Cost (Calc Margin),MediaTrader,Reklamstore,2500,500,Externally Managed,Triggers,Finans,0.6,CPC,0.6667,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,1500,012i0000001EB0yAAG
0063100000fGm6tAAC,TurkeyLR:554,Banner,2016-10-01,2016-10-30,500,Temsa201610Temsa EkimAppnexusMC,Net Cost (Calc Margin),MediaTrader,Appnexus,0,729.58,Externally Managed,Triggers,Finans,40,CPC,-0.4592,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fGm3bAAC,TurkeyLR:1230,Banner,2016-06-01,2016-06-27,1133.6,Akbank20166Akbank Emeklilere Chip Para HaziranReklamStoreMC,Net Cost (Calc Margin),MediaTrader,ReklamStore,4000,742,Externally Managed,Triggers,Finans,0.4,CPC,0.3454,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGm3GAAS,TurkeyLR:1424,Banner,2016-06-10,2016-06-12,920,Elca Kozmetik20166Estee Lauder %50 IndirimMaxadMS,Net Cost (Calc Margin),MediaTrader,Maxad,0,0,Externally Managed,Triggers,Kadin,0.4,CPC,1,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,0,012i0000001EB0yAAG
0063100000fGm56AAC,TurkeyLR:1679,Banner,2016-08-01,2016-08-30,1335.6,Teknosa20168Teknosa Turuncu Indirim 05-08 AgustosReklamStoreMC,Net Cost (Calc Margin),MediaTrader,ReklamStore,2500,500,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.6256,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGm8lAAC,TurkeyLR:1938,Banner,2016-11-11,2016-11-30,0,Huawei201611Huawei Y&II KasimReklamstoreMX,Net Cost (Calc Margin),MediaTrader,Reklamstore,3000,0,Externally Managed,Triggers,Finans,0.8,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2400,012i0000001EB0yAAG
0063100000fGm5TAAS,TurkeyLR:167,Banner,2016-08-01,2016-08-30,5473.6,GE20168GE AgustosLigatusMEC,Net Cost (Calc Margin),MediaTrader,Ligatus,6250,2500,Externally Managed,Triggers,Teknoloji,0.8,CPC,0.5433,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,5000,012i0000001EB0yAAG
0063100000fGm3MAAS,TurkeyLR:274,Banner,2016-06-01,2016-06-17,3626,Vodafone20166Vodafone Mandela HaziranPopmarkerMS,Net Cost (Calc Margin),MediaTrader,Popmarker,9000,1800,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.5036,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,3600,012i0000001EB0yAAG
0063100000fGm37AAC,TurkeyLR:562,Banner,2016-05-10,2016-05-31,2587.2,Vodafone20165Vodafone Residential Bigbang 2 StandartMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,5000,646.8,Externally Managed,Triggers,Kadin,0.8,CPC,0.75,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,4000,012i0000001EB0yAAG
0063100000fGlxeAAC,TurkeyLR:628,Banner,2016-02-22,2016-02-29,478.4,Vodafone20162Vodafone Fillbox Wave 2DeskfiveMS,Net Cost (Calc Margin),MediaTrader,Deskfive,2500,239.2,Externally Managed,Triggers,Dizi,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGlwWAAS,TurkeyLR:744,Banner,2016-02-12,2016-02-14,1225,Bimeks20162Bimeks Samsung Gears S2DigitalMarcomMEC,Net Cost (Calc Margin),MediaTrader,DigitalMarcom,3500,700,Externally Managed,Triggers,Alisveris,0.35,CPC,0.4286,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1225,012i0000001EB0yAAG
0063100000fGm7mAAC,TurkeyLR:798,Ekim Reporting,2016-10-01,2016-10-30,0,Renault201610Renault Megane Sedan 12-31 EkimBannerConnectMEC,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,174.71,Externally Managed,Triggers,Otomotiv,0,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Reporting,Digital,6000,012i0000001EB0yAAG
0063100000fGlwuAAC,TurkeyLR:1056,Banner,2016-02-02,2016-02-29,1333.33,Vodafone20162Corp Cozumler SubatMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,3333,982.2,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.2634,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1333.33,012i0000001EB0yAAG
0063100000fGlyOAAS,TurkeyLR:1599,Banner,2016-04-19,2016-04-30,1094,Elca Kozmetik20164MAC Eyes OnPopmarkerMS,Net Cost (Calc Margin),MediaTrader,Popmarker,5000,547,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGm5SAAS,TurkeyLR:292,Banner,2016-08-01,2016-08-30,2006.6,GSK20168GSK Sensodyne Check up AgustosAppnexusMC,Net Cost (Calc Margin),MediaTrader,Appnexus,7500,736.28,Externally Managed,Triggers,Saglik,0.4,CPC,0.6331,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,3000,012i0000001EB0yAAG
0063100000fGm80AAC,TurkeyLR:480,Banner,2016-11-11,2016-11-17,0,Saxo Capital201611Saxo Capital 17 Kasim Seminer Interstitial KasimMedyanetMX,Net Cost (Calc Margin),MediaTrader,Medyanet,1000,381.6,Externally Managed,Triggers,Finans,0.8,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,800,012i0000001EB0yAAG
0063100000fGm3jAAC,TurkeyLR:833,Banner,2016-06-01,2016-06-30,0,Elca Kozmetik20166Clinique HaziranKwankoMS,Net Cost (Calc Margin),MediaTrader,Kwanko,0,0,Externally Managed,Triggers,Kadin,0.4,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fGm6aAAC,TurkeyLR:958,Banner,2016-09-01,2016-09-30,903.53,EsteeLauder20169EsteeLauder EylulAffoceanMS,Net Cost (Calc Margin),MediaTrader,Affocean,0,0,Externally Managed,Triggers,Kadin,0.4,CPC,1,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fGlxPAAS,TurkeyLR:1707,Mobile Banner,2016-03-09,2016-03-31,2080,Akbank20163Akbank Direkt Kredi MobilMoveMC,Net Cost (Calc Margin),MediaTrader,Move,5200,1300,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.375,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2080,012i0000001EB0yAAG
0063100000fGm7iAAC,TurkeyLR:791,Banner,2016-10-01,2016-10-30,2666.67,Renault201610Renault Clio EkimAppnexusMEC,Net Cost (Calc Margin),MediaTrader,Appnexus,2105,729.58,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.7264,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,842,012i0000001EB0yAAG
0063100000fGlz3AAC,TurkeyLR:1144,Banner,2016-05-01,2016-05-15,1943.6,Bridgestone20165Bridgestone Data TargetingPopmarkerMC,Net Cost (Calc Margin),MediaTrader,Popmarker,5000,971.8,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,2000,012i0000001EB0yAAG
0063100000fGm2zAAC,TurkeyLR:1355,Banner,2016-05-10,2016-05-31,940.75,Vestel20165Vestel Euro 2016MedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,2500,500,Externally Managed,Triggers,Kadin,0.35,CPC,0.4685,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,875,012i0000001EB0yAAG
0063100000fGlxbAAC,TurkeyLR:1553,Banner,2016-03-03,2016-03-31,983.6,Vodafone20163Vodafone BJKDeskfiveMS,Net Cost (Calc Margin),MediaTrader,Deskfive,4000,576,Externally Managed,Triggers,BJK,0.4,CPC,0.4144,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGm68AAC,TurkeyLR:1641,Banner,2016-09-22,2016-09-30,5.6,Mavi20169Mavi Lansman EylulAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,1333,0,Externally Managed,Triggers,Teknoloji,0.4,CPC,1,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,533.33,012i0000001EB0yAAG
0063100000fGlwUAAS,TurkeyLR:4,Banner,2016-02-09,2016-02-14,909.09,Akbank20162Akbank Sevgililer GunuGoClickMC,Net Cost (Calc Margin),MediaTrader,GoClick,2273,500,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.45,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,909.09,012i0000001EB0yAAG
0063100000fGm3PAAS,TurkeyLR:788,Banner,2016-06-01,2016-06-19,156.4,Mavi20166Mavi Yaz Indirimi 16-19MedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,2000,78.2,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,800,012i0000001EB0yAAG
0063100000fGm8QAAS,TurkeyLR:1465,Banner,2016-11-11,2016-11-30,7983,Unico201611Unico KasimAdmaticMEC,Net Cost (Calc Margin),MediaTrader,Admatic,20000,2661,Externally Managed,Triggers,Finans,0.6,CPC,0.6667,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,12000,012i0000001EB0yAAG
0063100000fGlyDAAS,TurkeyLR:1675,Banner,2016-04-01,2016-04-30,1296,Elca Kozmetik20164Bobbi Brown NisanLigatusMS,Net Cost (Calc Margin),MediaTrader,Ligatus,3333,972,Externally Managed,Triggers,Kadin,0.4,CPC,0.25,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,1333.2,012i0000001EB0yAAG
0063100000fGm7EAAS,TurkeyLR:1339,Banner,2016-10-01,2016-10-30,2216,Shell201610Shell Autogas EkimAdnboostMC,Net Cost (Calc Margin),MediaTrader,Adnboost,4000,1000,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.5487,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGm2fAAC,TurkeyLR:1422,Banner,2016-05-01,2016-05-31,562.4,Elca Kozmetik20165MAC MayisReklamActionMS,Net Cost (Calc Margin),MediaTrader,ReklamAction,0,270,Externally Managed,Triggers,Kadin,0.4,CPC,0.5199,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fGm4kAAC,TurkeyLR:1477,Banner,2016-07-01,2016-07-31,2959.6,GE20167GE TemmuzNtvMEC,Net Cost (Calc Margin),MediaTrader,Ntv,6000,3000,Externally Managed,Triggers,RON,0.4,CPC,-0.0137,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,2400,012i0000001EB0yAAG
0063100000fGm3pAAC,TurkeyLR:1537,Banner,2016-06-01,2016-06-30,0,Mavi20166Mavi i love mavi HaziranAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,2500,0,Externally Managed,Triggers,Kadin,0.4,CPC,0,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,1000,012i0000001EB0yAAG
0063100000fGlxBAAS,TurkeyLR:1999,Banner,2016-03-11,2016-03-16,1941,Saxo Capital20163Saxo Capital Cuneyt PaksoyAdmaticMX,Net Cost (Calc Margin),MediaTrader,Admatic,5000,1000,Externally Managed,Triggers,Ekonomi,0.8,CPC,0.4848,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,4000,012i0000001EB0yAAG
0063100000fGlw3AAC,TurkeyLR:1166,Banner,2016-01-01,2016-01-31,1000,Elca Kozmetik20161Eye Shadow OcakReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,2500,500,Externally Managed,Triggers,Women,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGm2fAAC,TurkeyLR:1838,Banner,2016-05-01,2016-05-31,2426.8,Elca Kozmetik20165MAC MayisAdnboostMS,Net Cost (Calc Margin),MediaTrader,Adnboost,5000,1000,Externally Managed,Triggers,Kadin,0.4,CPC,0.5879,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,2000,012i0000001EB0yAAG
0063100000fGm8oAAC,TurkeyLR:1885,Banner,2016-11-11,2016-11-30,70.4,Renault201611Renault Clio Standart KasimMedyanetMEC,Net Cost (Calc Margin),MediaTrader,Medyanet,2500,35.2,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,1000,012i0000001EB0yAAG
0063100000fGlyvAAC,TurkeyLR:289,Banner,2016-02-02,2016-02-29,1643.6,Akbank20162Akbank Ihtiyac KredisiAppnexusMC,Net Cost (Calc Margin),MediaTrader,Appnexus,5000,1370.7,Externally Managed,Triggers,RTB,0.4,CPC,0.166,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGlxbAAC,TurkeyLR:1001,Banner,2016-03-03,2016-03-31,1047.6,Vodafone20163Vodafone BJKMicrosoftMS,Net Cost (Calc Margin),MediaTrader,Microsoft,2609,600,Externally Managed,Triggers,BJK,0.4,CPC,0.4273,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1043.48,012i0000001EB0yAAG
0063100000fGm6mAAC,TurkeyLR:220,Banner,2016-10-01,2016-10-30,1099,KKB201610KKB Kredi Notu EkimReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,2500,500,Externally Managed,Triggers,Finans,0.4,CPC,0.545,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGly7AAC,TurkeyLR:810,Banner,2016-04-22,2016-04-25,353.2,Teknosa20164Teknosa Fransa Iletisimi 22-25 NisanPopmarkerMC,Net Cost (Calc Margin),MediaTrader,Popmarker,1750,300,Externally Managed,Triggers,Kadin,0.4,CPC,0.1506,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,700,012i0000001EB0yAAG
0063100000fGlydAAC,TurkeyLR:1916,Banner,2016-04-25,2016-04-30,485,Bayer20164Bayer Alevlendirir NisanReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,1250,250,Externally Managed,Triggers,Kadin,0.4,CPC,0.4845,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,500,012i0000001EB0yAAG
0063100000fGlyAAAS,TurkeyLR:93,Banner,2016-04-01,2016-04-30,1138.8,Elca Kozmetik20164Aveda NisanLigatusMS,Net Cost (Calc Margin),MediaTrader,Ligatus,3333,854.1,Externally Managed,Triggers,Kadin,0.4,CPC,0.25,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1333.33,012i0000001EB0yAAG
0063100000fGlxNAAS,TurkeyLR:1421,Banner,2016-03-28,2016-03-31,560,Teknosa20163Teknosa Euro 2016 28-31 MartDeskfiveMC,Net Cost (Calc Margin),MediaTrader,Deskfive,4000,280,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGm4iAAC,TurkeyLR:1548,Banner,2016-07-01,2016-07-31,5081.6,Michelin20167Michelin Prepurchase Standart TemmuzPopmarkerMEC,Net Cost (Calc Margin),MediaTrader,Popmarker,14000,2540,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.5002,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,5600,012i0000001EB0yAAG
0063100000fGlxSAAS,TurkeyLR:1865,Banner,2016-02-26,2016-02-29,465.2,Zorlu PSM20162Zorlu PSM Slava's Snow ShowPopMarkerMC,Net Cost (Calc Margin),MediaTrader,PopMarker,2500,232.6,Externally Managed,Triggers,LifeStyle,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,1000,012i0000001EB0yAAG
0063100000fGm6eAAC,TurkeyLR:247,Banner,2016-09-01,2016-09-30,3144.4,Huawei20169Huawei P9 Lite EylulReklamstoreMX,Net Cost (Calc Margin),MediaTrader,Reklamstore,7500,1500,Externally Managed,Triggers,Finans,0.4,CPC,0.523,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3000,012i0000001EB0yAAG
0063100000fGlxVAAS,TurkeyLR:1265,Banner,2016-03-10,2016-03-31,608,Lufthansa20163Lufthansa Baseline MartGoClickMS,Net Cost (Calc Margin),MediaTrader,GoClick,4545,334.4,Externally Managed,Triggers,Seyahat,0.4,CPC,0.45,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1818.18,012i0000001EB0yAAG
0063100000fGm4WAAS,TurkeyLR:1837,Banner,2016-07-14,2016-07-31,1859.6,Mavi20167Mavi 26-28 TemmuzReklamStoreMS,Net Cost (Calc Margin),MediaTrader,ReklamStore,4000,800,Externally Managed,Triggers,Alisveris,0.4,CPC,0.5698,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGm7CAAS,TurkeyLR:34,Banner,2016-10-01,2016-10-30,2728.6,Nike201610Nike Football Training EkimMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,0,496,Externally Managed,Triggers,Spor,0.6,CPC,0.8182,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fGm5rAAC,TurkeyLR:577,Banner,2016-09-09,2016-09-25,1296,Vodafone20169Vodafone Red Roaming EylulMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,4000,800,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.3827,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGlwoAAC,TurkeyLR:992,Banner,2016-02-19,2016-02-29,3998,IKEA20162Ikea OnlineAdmaticMEC,Net Cost (Calc Margin),MediaTrader,Admatic,7000,1400,Externally Managed,Triggers,Alisveris,0.4,CPC,0.6498,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,2800,012i0000001EB0yAAG
0063100000fGm32AAC,TurkeyLR:1286,Banner,2016-05-23,2016-05-31,1680,Vodafone20165Vodafone FZ Top & GetAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,15000,3000,Externally Managed,Triggers,Kadin,0.4,CPC,-0.7857,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,6000,012i0000001EB0yAAG
0063100000fGlyXAAS,TurkeyLR:1504,Mobile Banner,2016-02-02,2016-02-29,2500,Akbank20162Akbank Serbest Hesap MobilAdnboostMC,Net Cost (Calc Margin),MediaTrader,Adnboost,6250,1250,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2500,012i0000001EB0yAAG
0063100000fGlxZAAS,TurkeyLR:1634,Banner,2016-03-03,2016-03-31,604.8,Vodafone20163Vodafone Big Bang Erkek & SporMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,2000,302.4,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,800,012i0000001EB0yAAG
0063100000fGlwAAAS,TurkeyLR:1680,Banner,2016-01-11,2016-01-31,2301.2,Akbank20161BKEAdinteractionMC,Net Cost (Calc Margin),MediaTrader,Adinteraction,5000,1000,Externally Managed,Triggers,Finans,0.4,CPC,0.5654,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGlx6AAC,TurkeyLR:647,Banner,2016-03-04,2016-03-07,875,Teknosa20163Teknosa Turuncu IndirimDeskfiveMC,Net Cost (Calc Margin),MediaTrader,Deskfive,3750,629.8,Externally Managed,Triggers,Teknoloji,0.35,CPC,0.2802,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1312.5,012i0000001EB0yAAG
0063100000fGm5wAAC,TurkeyLR:1116,Banner,2016-09-01,2016-09-28,0,Akbank20169Akbank Caz Blog Kampanyasi EylulBannerConnectMC,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,180.78,Externally Managed,Triggers,Ekonomi,0,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Adserver,Digital,0,012i0000001EB0yAAG
0063100000fGlwdAAC,TurkeyLR:1521,Banner,2016-02-01,2016-02-29,1005.6,Elca Kozmetik20162Clinique SubatMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,2500,500,Externally Managed,Triggers,Kadin,0.4,CPC,0.5028,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGm7dAAC,TurkeyLR:830,Banner,2016-10-01,2016-10-30,481.2,TFKB201610TFKB Esnafa Cifte Bayram Standart EkimMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,3333,160,Externally Managed,Triggers,Finans,0.6,CPC,0.6675,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGlxjAAC,TurkeyLR:991,Banner,2016-03-04,2016-03-31,1268,Vodafone20163Vodafone Preject SennaDeskfiveMS,Net Cost (Calc Margin),MediaTrader,Deskfive,4000,738.4,Externally Managed,Triggers,Cihaz,0.4,CPC,0.4177,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGm4RAAS,TurkeyLR:1491,Banner,2016-07-01,2016-07-31,70.8,Elca Kozmetik20167Aveda TemmuzAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,5000,58.94,Externally Managed,Triggers,Kadin,0.4,CPC,0.1675,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,2000,012i0000001EB0yAAG
0063100000fGlwjAAC,TurkeyLR:408,Banner,2016-02-23,2016-02-29,900,Akbank20162Akbank Axess Chip ParaAdinteractionMC,Net Cost (Calc Margin),MediaTrader,Adinteraction,3000,600,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.3333,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1200,012i0000001EB0yAAG
0063100000fGlx5AAC,TurkeyLR:685,Banner,2016-02-09,2016-02-29,272,LAV20162LAV SubatPopMarkerMX,Net Cost (Calc Margin),MediaTrader,PopMarker,1750,108.8,Externally Managed,Triggers,Kadin,0.5,CPC,0.6,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,875,012i0000001EB0yAAG
