Opportunity__c,External_Id__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c
006630000042bZvAAI,617628310,Xaxis Display Plus,3/11/2016,3/18/2016,1600,Akbank0316_TradeAll_Digitalm_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,2000000,1000,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.6,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042cfgAAA,2093220511,Xaxis Tv,5/1/2016,5/29/2016,4000,Tadim0516_Meyvegiller_Preroll_Bond_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,100000,4000,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.04,cpv,0.6275,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042bYUAAY,2072610068,Xaxis Tv,1/14/2016,1/31/2016,2400,Lassa0116_El_Classico_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,40000,2400,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042bYUAAY,718545429,Xaxis Tv,1/14/2016,1/31/2016,1200,Lassa0116_El_Classico_Preroll_Midyo_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Midyo,20000,1200,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.9167,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042cf4AAA,-1326391435,Xaxis Rich Media,5/1/2016,5/8/2016,1275,Teknosa0516_AnnelerGunu_intersitital_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,300000,1275,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4118,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042cg4AAA,1110171413,Xaxis Display Plus,5/13/2016,5/31/2016,840,Karcher0516_Basincli_Yikama_makinasi_interest_Bond_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,700000,847,Externally Managed,Triggers,Selected Sites,1.2,cpm,0.5868,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042bYIAAY,-394747741,Xaxis Lookalike,1/5/2016,1/31/2016,1300,Vodafone_0116_CropCozumler_LAL_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,1000000,1300,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.8462,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042baUAAQ,-1854700442,Xaxis Tv,3/7/2016,3/30/2016,900,Lactamil0316_Emziren_Anneler_Adhood_Preroll_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Adhood,30000,444.87,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,0.6667,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042cedAAA,-2077336352,Xaxis Display Plus,4/13/2016,4/30/2016,2000,Vodafone0416_Residental_Tablet_interest_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,2500000,1148.39,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.75,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042bXqAAI,247945838,Xaxis Display Plus,1/7/2016,1/31/2016,1300,ElcaKozmetik0116_Doprhin8_Interest_Adinteraction_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Adinteraction,1000000,556,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.7302,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042bXqAAI,-1799856977,Xaxis Display Plus,1/7/2016,1/31/2016,650,ElcaKozmetik0116_Doprhin8_Interest_Nokta_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Nokta,500000,650,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9231,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042cdcAAA,1875887923,Xaxis Rich Media,4/6/2016,4/19/2016,2125,Zorlu0416_Slavas_Snow_Show_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,500000,2012.5,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8758,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042bYoAAI,1177259195,Xaxis Rich Media,2/19/2016,2/22/2016,1062.5,Teknosa0216_Turuncu_indirim_faz2_Bond_interstitial_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,250000,1001,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4381,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042bYeAAI,1359445122,Xaxis Display Plus,2/8/2016,2/14/2016,1750,Akbank0216_Sevgililer_Gunu_Medyanet_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,1750000,1450,Externally Managed,Triggers,Selected Sites,1,cpm,0.8793,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042bYoAAI,659095685,Xaxis Rich Media,2/19/2016,2/22/2016,1062.5,Teknosa0216_Turuncu_indirim_faz2_Acunn_interstitial_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,250000,1069.07,Externally Managed,Triggers,Interstitial,4.25,cpm,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042bYxAAI,-1863722607,Xaxis Display Plus,2/23/2016,2/29/2016,500,Akbank_Axess_Akaryakit_Nokta_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Nokta,500000,500,Externally Managed,Triggers,Selected Sites,1,cpm,0.9,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042cfzAAA,448458419,Xaxis Pin,5/18/2016,5/31/2016,3000,ElcaKozmetik0516_Darphin_Pin_Overlay_Popmarker_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Popmarker,1000000,3000,Externally Managed,Triggers,Selected Sites,3,cpm,0.6667,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042ba6AAA,146404785,Xaxis Display Plus,3/11/2016,3/23/2016,1980,IBM0316_SAP_Cloud_Faz2_Adinteraction_interest_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Adinteraction,1000000,1933,Externally Managed,Triggers,Selected Sites,1.98,cpm,0.9224,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042bYHAAY,1036422178,Xaxis Contextual,1/15/2016,1/31/2016,2250,Vestel0116_LCD_Istanbul_Disi_Contextual_Adhood_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Adhood,1500000,3000,Externally Managed,Triggers,Selected Sites,1.5,cpm,0.925,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
