Business_Unit__c,Advertiser__c,Agency__c,RecordTypeId,AccountId,CurrencyIsoCode,Name,CloseDate,StageName
Xaxis,a0063000002sxYpAAI,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfqZAAT,DKK,MatchOffice ApS - Kampagne 3: Abne model,"Aug 31, 2016",Closed Won
Xaxis,a0063000002sxYqAAI,a00i000000GIJkSAAX,012i0000001EAyWAAW,0016300000FXfqaAAD,NOK,Maxus Communications AB / Fitness24Seven - Fitness24seven januar 2016,"Sep 11, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Kolding - 2016 - Abent alle dage Q1,"Mar 31, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Online - 2016 - Efterarsferie + cirkus,"Oct 22, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Online - 2016 - Januar udsalg,"Jan 31, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Online - 2016 - retargeting,"Dec 31, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Online - 2016 - Rosa filmpris,"Oct 30, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Online - Eleafashion - 2016,"Mar 31, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Online - Forar i Kolding - april + maj,"May 31, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Online - Midtvejskampagne - august 201,"Aug 31, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Online - Sommer udsalg - juni + Juli 2,"Jul 31, 2016",Closed Won
Xaxis,a0063000002sxYQAAY,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXflmAAD,DKK,Kolding Storcenter Centerforeningen - Online - Vinterferie - Dino-uge - uge,"Feb 29, 2016",Closed Won
Xaxis,a0063000002sxYrAAI,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfqbAAD,DKK,"Maxus Communications Ltd - Board Dia - Origen Green W10-13+36-39 2016, online","Oct 2, 2016",Closed Won
Xaxis,a0063000002sxYuAAI,a00i000000GIJkbAAH,012i0000001EAyNAAW,0016300000FXfqeAAD,DKK,MEC International LTD - Visa Online - Crossborder Summer,"Sep 30, 2016",Closed Won
Xaxis,a0063000002sxYwAAI,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfqgAAD,DKK,Media Agent - Angels Club - AMC2,"Sep 30, 2016",Closed Won
Xaxis,a0063000002sxYwAAI,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfqgAAD,DKK,Media Agent - Penthouse,"Dec 31, 2016",Closed Won
Xaxis,a0063000002sxYwAAI,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfqgAAD,DKK,Media Agent - Rungstedgaard: august/september,"Sep 30, 2016",Closed Won
