Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
00663000004Sv6CAAS,NordicOrderID:17667,Xaxis Mobile,2016-05-26 12:00:00,2016-05-31 12:00:00,15814,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis Video Reach - DK/NO/SE/FI,Mobile
00663000004Sx6gAAC,NordicOrderID:18852,Xaxis TV,2016-07-01 12:00:00,2016-09-30 12:00:00,15836,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting SE,Video
00663000004Sx0JAAS,NordicOrderID:19963,Xaxis TV,2016-09-01 12:00:00,2016-09-14 12:00:00,15873,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwvOAAS,NordicOrderID:17683,Xaxis TV,2016-05-21 12:00:00,2016-05-31 12:00:00,15962,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Swv0AAC,NordicOrderID:18191,Xaxis TV,2016-06-15 12:00:00,2016-06-30 12:00:00,15962,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwuzAAC,NordicOrderID:18702,Xaxis TV,2016-07-01 12:00:00,2016-07-31 12:00:00,15962,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwzrAAC,NordicOrderID:17951,Xaxis TV,2016-06-01 12:00:00,2016-06-30 12:00:00,15982,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Vejhjaelp - Ny trafik,Video
00663000004SwyVAAS,NordicOrderID:11151,Xaxis TV,2016-01-04 12:00:00,2016-01-17 12:00:00,16000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sx0WAAS,NordicOrderID:11219,Xaxis TV,2016-01-25 12:00:00,2016-01-30 12:00:00,16000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Retargeting, lookalike, behavorial",Video
00663000004SwyWAAS,NordicOrderID:11152,Xaxis TV,2016-01-25 12:00:00,2016-02-07 12:00:00,16000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwyPAAS,NordicOrderID:11213,Xaxis TV,2016-02-05 12:00:00,2016-02-14 12:00:00,16000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Geo: Glostrup og omegn,Video
00663000004SwyRAAS,NordicOrderID:11726,Xaxis TV,2016-02-15 12:00:00,2016-02-28 12:00:00,16000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"cross device, Glostrup og omegn, bornefamilier",Video
00663000004SwyXAAS,NordicOrderID:11135,Xaxis TV,2016-02-22 12:00:00,2016-03-06 12:00:00,16000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwyqAAC,NordicOrderID:18470,Xaxis TV,2016-07-01 12:00:00,2016-11-27 12:00:00,16001,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic buying H2,Video
00663000004SwytAAC,NordicOrderID:14686,Xaxis TV,2016-03-17 12:00:00,2020-01-01 12:00:00,16005,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic buying H1,Video
00663000004SwyLAAS,NordicOrderID:17233,Xaxis TV,2016-05-16 12:00:00,2016-05-26 12:00:00,16026,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Geo: Glostrup og omegn,Video
00663000004Sx4MAAS,NordicOrderID:17691,Xaxis TV,2016-04-11 12:00:00,2016-04-30 12:00:00,16045,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Uge 15-17,Video
00663000004SwY2AAK,NordicOrderID:10775,Xaxis TV,2016-01-15 12:00:00,2016-12-31 12:00:00,16108,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,FR - Prospecting,Video
00663000004Sww3AAC,NordicOrderID:10890,Xaxis TV,2016-01-01 12:00:00,2016-03-31 12:00:00,16133,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,IP targeting til krydssalg,Video
00663000004SwyIAAS,NordicOrderID:16993,Xaxis TV,2016-05-11 12:00:00,2016-07-03 12:00:00,16140,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sx52AAC,NordicOrderID:14727,Xaxis TV,2016-03-21 12:00:00,2016-08-14 12:00:00,16200,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic,Video
00663000004Sx52AAC,NordicOrderID:14730,Xaxis TV,2016-03-21 12:00:00,2016-08-14 12:00:00,16200,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic,Video
00663000004Sx6tAAC,NordicOrderID:28748,Xaxis TV,2016-09-01 12:00:00,2016-09-30 12:00:00,16334,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic SE,Video
00663000004Swz2AAC,NordicOrderID:28772,Xaxis TV,2016-09-05 12:00:00,2016-09-25 12:00:00,16400,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Swv8AAC,NordicOrderID:14547,Xaxis TV,2016-03-10 12:00:00,2016-04-10 12:00:00,16432,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
