Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000fk5SNAAY,,Banner,2016-12-01,2016-12-21,7535.56,Nike201612Nike Basketball - Come out of Nowhere AralikMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,5000,67.5,Externally Managed,Triggers,Alisveris,0.6,CPC,0.991,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,3000,012i0000001EB0yAAG
0063100000fk5RyAAI,,Banner,2016-11-24,2016-11-27,1407.2,Clinique201611Clinique BlackFriday KasimMainadvMS,Net Cost (Calc Margin),MediaTrader,Mainadv,10000,1055.4,Externally Managed,Triggers,Kadin,0.4,CPC,0.25,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,4000,012i0000001EB0yAAG
0063100000fk5T8AAI,,Banner,2016-12-01,2016-12-31,3000,Vodafone201612Vodafone Avantajli Dukkan Kategori AralikBondMS,Net Cost (Calc Margin),MediaTrader,Bond,200000,59.14,Externally Managed,Triggers,Teknoloji,0.6,CPM,0.9803,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,120,012i0000001EB0yAAG
0063100000fk5T5AAI,,Banner,2016-12-15,2016-12-31,1900,Vodafone201612Vodafone Adaptive Tariff Digital NativeReklamNativeMS,Net Cost (Calc Margin),MediaTrader,ReklamNative,3500,280,Externally Managed,Triggers,Teknoloji,0.6,CPC,0.8526,From spreadsheet: Turkey LR | Campaign Data,Text-Image,Digital,2100,012i0000001EB0yAAG
0063100000fGm8UAAS,,Banner,2016-11-01,2016-11-30,0,Akbank201611Akbank Caz Festivali Standart KasimBannerConnectMC,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,118.92,Externally Managed,Triggers,Finans,0,CPC,-2.1146,From spreadsheet: Turkey LR | Campaign Data,Adserver,Digital,1666.5,012i0000001EB0yAAG
0063100000fk5SlAAI,,Banner,2016-12-22,2016-12-31,3750,Bio Oil201612Bio Oil AralikReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,10000,3364.4,Externally Managed,Triggers,Otomotiv,0.8,CPC,0.1028,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,8000,012i0000001EB0yAAG
0063100000fk5SOAAY,,Banner,2016-12-15,2016-12-21,5785.7,Nike201612Nike Gifting AralikYeni SafakMS,Net Cost (Calc Margin),MediaTrader,Yeni Safak,7500,442.4,Externally Managed,Triggers,Alisveris,0.6,CPC,0.9235,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,4500,012i0000001EB0yAAG
0063100000fGm7tAAC,,Banner,2016-11-01,2016-11-14,3914.2,Nike201611Nike Football Training KasimAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,333333,1000,Externally Managed,Triggers,Spor,0.6,CPM,0.7445,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,200,012i0000001EB0yAAG
0063100000fk5SEAAY,,Banner,2016-12-01,2016-12-15,1014,Lassa201612Lassa Kis Kampanyasi AralikMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,600000,209.2,Externally Managed,Triggers,Otomotiv,0.4,CPM,0.7937,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,240,012i0000001EB0yAAG
0063100000fk5SvAAI,,Banner,2016-12-23,2016-12-31,666,Vodafone201612VF Olympia 2-ASUS KategoriGoclickMS,Net Cost (Calc Margin),MediaTrader,Goclick,1818,157.3,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.7638,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,727.27,012i0000001EB0yAAG
0063100000fk5TWAAY,,Banner,2016-12-16,2016-12-31,11538.46,Renault201612RENAULT Satis Aralik Standart BannerPopmarker 728x90MEC,Net Cost (Calc Margin),MediaTrader,Popmarker 728x90,40000,3599,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.6881,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,16000,012i0000001EB0yAAG
0063100000fk5TWAAY,,Banner,2016-12-16,2016-12-31,11538.46,Renault201612RENAULT Satis Aralik Standart BannerMaxadMEC,Net Cost (Calc Margin),MediaTrader,Maxad,25000,5000,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.5667,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,10000,012i0000001EB0yAAG
0063100000fk5S6AAI,,Banner,2016-11-24,2016-11-30,221.6,Renault201611Renault Dacia Range Standart KasimMicrosoftMEC,Net Cost (Calc Margin),MediaTrader,Microsoft,12000,138.5,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.375,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,4800,012i0000001EB0yAAG
0063100000fk5TGAAY,,Banner,2016-12-20,2016-12-31,1000,Vodafone201612Vodafone Lenovo Faz 2 AralikReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,3333,36.3,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.9637,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,1333.33,012i0000001EB0yAAG
0063100000fk5T6AAI,,Banner,2016-12-15,2016-12-31,2000,Vodafone201612Vodafone Adaptive Tariff Digital Standart Banner AralikMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,5000,86.1,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.957,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGm8aAAC,,Banner,2016-11-15,2016-11-30,1500,Pandora201611Pandora KasimMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,500000,246.61,Externally Managed,Triggers,Alisveris,0.45,CPM,0.8356,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,225,012i0000001EB0yAAG
0063100000fGm85AAC,,Banner,2016-11-01,2016-11-20,954.4,Vodafone201611Vodafone Avantajli Dukkan Mobil KasimAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,500000,259.39,Externally Managed,Triggers,Teknoloji,0.4,CPM,0.7282,From spreadsheet: Turkey LR | Campaign Data,RTB,Digital,200,012i0000001EB0yAAG
