Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Id,Original_Gross_Budget__c
0063100000ejrDQAAY,TurkeyOpp-43,Xaxis TV,2016-03-07,2016-03-30,0,Lactamil0316_Emziren_Anneler_Reklamstore_Preroll_MEC,Net Cost (Calc Margin),MediaTrader,Reklamstore,150000,534,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,1,From spreadsheet: Turkey | Campaign Data,Online Video,Video,a013100000fKdscAAC,4500
0063100000ejrDRAAY,TurkeyOpp-1866,Xaxis Look-alike Modelling,2016-03-25,2016-03-30,50,Pandora0316_Spring_Summer_Medyanet_LAL_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,500000,750,Externally Managed,Triggers,Selected Sites,1.5,cpm,0.9333,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdybAAC,750
0063100000ejrIsAAI,TurkeyOpp-1752,Xaxis TV,2016-05-01,2016-05-07,250,Altinbas0516_Anneler_Gunu_Preroll_Midyo_MEC,Net Cost (Calc Margin),MediaTrader,Midyo,50000,1625,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.8462,From spreadsheet: Turkey | Campaign Data,Online Video,Video,a013100000fKdaIAAS,1625
0063100000ekis1AAA,TurkeyOpp-1361,Xaxis Look-alike Modelling,2016-10-01,2016-10-31,0,Dormia1016_Lansman_LAL_Appnexus_MEC,Net Cost (Calc Margin),MediaTrader,Appnexus,1500000,0,Externally Managed,Triggers,Selected Sites,2,cpm,0,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdjcAAC,3000
0063100000ejrC9AAI,TurkeyOpp-1182,Xaxis Look-alike Modelling,2016-02-08,2016-02-29,50,Bayer0216_KSTV_Nokta_LAL_MC,Net Cost (Calc Margin),MediaTrader,Nokta,500000,703.23,Externally Managed,Triggers,Selected Sites,1.4,cpm,0.9289,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKddBAAS,700
0063100000ekiqZAAQ,TurkeyOpp-2323,Xaxis Display Plus,2016-09-09,2016-09-30,500,Vodafone0916_BJK_Forma_Kontratlama_VF_Bond_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,1000000,1000,Externally Managed,Triggers,Selected Sites,2,cpm,0.5,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKeC7AAK,2000
0063100000ekir7AAA,TurkeyOpp-1968,Xaxis Display Plus,2016-10-03,2016-10-10,0,Vodafone1016_Godzilla_Turbine_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,300000,0,Externally Managed,Triggers,Selected Sites,2,cpm,0,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKeDGAA0,600
0063100000ejrI5AAI,TurkeyOpp-620,Xaxis Display Plus,2016-04-15,2016-04-30,59.31,Michelin_0416_Cross_Climate_300x250_Digitalm_MEC,Net Cost (Calc Margin),MediaTrader,Digitalm,300000,2372.29,Externally Managed,Triggers,Selected Sites,8,cpm,0.975,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdvoAAC,2400
0063100000ejrJKAAY,TurkeyOpp-671,Xaxis Rich Media,2016-05-19,2016-05-22,402.54,Teknosa0516_Genclik_iletisimi_interstitial_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,300000,896.96,Externally Managed,Triggers,Interstitial,4.25,cpm,0.5512,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKe4DAAS,1275
0063100000ejrASAAY,TurkeyOpp-1773,Xaxis TV,2016-01-01,2016-01-20,150,Bayer0116_Redoxon_Preroll_Midyo_MC,Net Cost (Calc Margin),MediaTrader,Midyo,30000,990,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.8485,From spreadsheet: Turkey | Campaign Data,Online Video,Video,a013100000fKdcvAAC,990
