Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000emtLfAAI,TurkeyOpp-2225,Xaxis Look-alike Modelling,2016-03-01,2016-03-30,1152,Vodafone0316_Project_Big_Bang_Digitalm_LAL_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,2000000,317.24,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.7246,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,2600,012i0000001EB0yAAG
0063100000emtLfAAI,TurkeyOpp-2141,Xaxis Look-alike Modelling,2016-03-01,2016-03-30,923.7,Vodafone0316_Project_Big_Bang_Bond_LAL_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,1000000,355.27,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.6154,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1300,012i0000001EB0yAAG
0063100000emtLfAAI,TurkeyOpp-783,Xaxis Look-alike Modelling,2016-03-01,2016-03-30,431.8,Vodafone0316_Project_Big_Bang_matrouge_LAL_MS,Net Cost (Calc Margin),MediaTrader,Matrouge,250000,50,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.8842,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,325,012i0000001EB0yAAG
0063100000emtKnAAI,TurkeyOpp-2217,Xaxis Display Plus,2016-03-08,2016-03-28,1537.99,Vodafone0316_Project_Keops_Bond_interest_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,3000000,194,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.8739,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,2400,012i0000001EB0yAAG
0063100000emtKnAAI,TurkeyOpp-1733,Xaxis Display Plus,2016-03-08,2016-03-28,819.94,Vodafone0316_Project_Keops_Medyanet_interest_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,1000000,100,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.878,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,800,012i0000001EB0yAAG
0063100000emtKnAAI,TurkeyOpp-1109,Xaxis Display Plus,2016-03-08,2016-03-28,2165,Vodafone0316_Project_Keops_Digitalm_interest_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,4000000,702.59,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.6755,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,3200,012i0000001EB0yAAG
0063100000emtKnAAI,TurkeyOpp-1190,Xaxis Display Plus,2016-03-08,2016-03-28,784.69,Vodafone0316_Project_Keops_Reklamstore_interest_MS,Net Cost (Calc Margin),MediaTrader,Reklamstore,3000000,343.3,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.5625,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,2400,012i0000001EB0yAAG
0063100000emtLgAAI,TurkeyOpp-2280,Xaxis TV,2016-03-02,2016-03-30,1401.02,Vodafone0316_Project_Keops_Acunn_Preroll_MS,Net Cost (Calc Margin),MediaTrader,Acunn,50000,0,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.035,cpv,1,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1750,012i0000001EB0yAAG
0063100000emtLgAAI,TurkeyOpp-372,Xaxis TV,2016-03-02,2016-03-30,1121.09,Vodafone0316_Project_Keops_Digitalmarcom_Preroll_MS,Net Cost (Calc Margin),MediaTrader,Digitalmarcom,50000,960.93,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.035,cpv,0.1429,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1750,012i0000001EB0yAAG
0063100000emtLgAAI,TurkeyOpp-1240,Xaxis TV,2016-03-02,2016-03-30,2052,Vodafone0316_Project_Keops_Crep_Preroll_MS,Net Cost (Calc Margin),MediaTrader,Crep Digital,100000,2078.46,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.035,cpv,-0.0129,From spreadsheet: Turkey | Campaign Data,Online Video,Video,3500,012i0000001EB0yAAG
