Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c
0063100000ejrKgAAI,TurkeyOpp-290,Xaxis Audio Recog,2016-05-01,2016-05-31,6000,Shell0516_Helix_Audio_Recognation_Digitalmarcom_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalmarcom,100000,6000,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.3667,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKhAAI,TurkeyOpp-288,Xaxis Mobil,2016-05-01,2016-05-31,5625,Shell0516_Helix_Mobile_Rich_Media_Move_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Move,750000,5624.59,Externally Managed,Triggers,Selected Sites,7.5,cpm,0.6,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKhAAI,TurkeyOpp-289,Xaxis Mobil,2016-05-01,2016-05-31,6375,Shell0516_Helix_Mobile_Rich_Media_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,850000,4858,Externally Managed,Triggers,Selected Sites,7.5,cpm,0.5626,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKiAAI,TurkeyOpp-292,Xaxis Tv,2016-05-01,2016-05-31,3300,Shell0516_Helix_Preroll_Bond_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,100000,3300,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.5475,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKiAAI,TurkeyOpp-291,Xaxis Tv,2016-05-01,2016-05-31,3300,Shell0516_Helix_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,100000,2506,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.601,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKiAAI,TurkeyOpp-293,Xaxis Tv,2016-05-01,2016-05-31,2145,Shell0516_Helix_Preroll_Midyo_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Midyo,65000,2144.92,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.8485,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKjAAI,TurkeyOpp-477,Xaxis Audio Recog,2016-05-13,2016-05-31,6000,Shell0516_Rimula_Audio_Recognation_Digitalmarcom_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalmarcom,100000,0,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKkAAI,TurkeyOpp-480,Xaxis Display Plus,2016-05-13,2016-05-31,1000,Shell0516_Rimula_interest_Adhood_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Adhood,1000000,0,Externally Managed,Triggers,Selected Sites,1,cpm,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKkAAI,TurkeyOpp-478,Xaxis Display Plus,2016-05-13,2016-05-31,2750,Shell0516_Rimula_interest_Bond_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,2750000,1455.26,Externally Managed,Triggers,Selected Sites,1,cpm,0.5994,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKkAAI,TurkeyOpp-479,Xaxis Display Plus,2016-05-13,2016-05-31,2000,Shell0516_Rimula_interest_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,2000000,2022.74,Externally Managed,Triggers,Selected Sites,1,cpm,0.8022,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
