Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId,Field 24
0063100000emtRnAAI,Turkey:2987,Xaxis Rich Media,2016-08-26,2016-08-29,1600,Teknosa0816_Turuncu_Indirim_26-29Agustos_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,400000,200,Externally Managed,Triggers,Interstitial,4.25,cpm,0.875,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1700,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_26-29Agustos_interstitial_MC
0063100000emtRaAAI,Turkey:361,Xaxis Rich Media,2016-08-05,2016-08-08,700,Teknosa0816_Turuncu_indirim_5-8Agustos_interstitial_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,180000,450,Externally Managed,Triggers,Interstitial,4.25,cpm,0.3571,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,765,012i0000001EB0yAAG,Teknosa0816_Turuncu_indirim_5-8Agustos_interstitial_MC
0063100000emtRaAAI,Turkey:296,Xaxis Rich Media,2016-08-05,2016-08-08,400,Teknosa0816_Turuncu_indirim_5-8Agustos_interstitial_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,100000,250,Externally Managed,Triggers,Interstitial,4.25,cpm,0.375,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,425,012i0000001EB0yAAG,Teknosa0816_Turuncu_indirim_5-8Agustos_interstitial_MC
0063100000emtRaAAI,Turkey:1061,Xaxis Rich Media,2016-08-05,2016-08-08,900,Teknosa0816_Turuncu_indirim_5-8Agustos_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,400000,110.06,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8777,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1700,012i0000001EB0yAAG,Teknosa0816_Turuncu_indirim_5-8Agustos_interstitial_MC
0063100000emtRaAAI,Turkey:1316,Xaxis Rich Media,2016-08-05,2016-08-08,120.16,Teknosa0816_Turuncu_indirim_5-8Agustos_interstitial_Sevinciletisim_MC,Net Cost (Calc Margin),MediaTrader,Sevinc iletisim,60000,120,Externally Managed,Triggers,Interstitial,4.25,cpm,0.0013,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,255,012i0000001EB0yAAG,Teknosa0816_Turuncu_indirim_5-8Agustos_interstitial_MC
0063100000emtSeAAI,Turkey:1313,Xaxis Rich Media,2016-09-16,2016-09-18,1000,Teknosa0916_Back_To_School_interstitial_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,350000,875,Externally Managed,Triggers,Interstitial,4.25,cpm,0.125,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1487.5,012i0000001EB0yAAG,Teknosa0916_Back_To_School_interstitial_MC
0063100000emtSeAAI,Turkey:1545,Xaxis Rich Media,2016-09-16,2016-09-18,2523.62,Teknosa0916_Back_To_School_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,850000,420.68,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8333,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,3612.5,012i0000001EB0yAAG,Teknosa0916_Back_To_School_interstitial_MC
0063100000emtSfAAI,Turkey:2193,Xaxis TV,2016-09-16,2016-09-18,330,Teknosa0916_Back_To_School_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,30000,450,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,-0.3636,From spreadsheet: Turkey | Campaign Data,Online Video,Video,990,012i0000001EB0yAAG,Teknosa0916_Back_To_School_Preroll_MC
0063100000emtSfAAI,Turkey:3091,Xaxis TV,2016-09-16,2016-09-18,1000,Teknosa0916_Back_To_School_Preroll_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,30000,450,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.55,From spreadsheet: Turkey | Campaign Data,Online Video,Video,990,012i0000001EB0yAAG,Teknosa0916_Back_To_School_Preroll_MC
0063100000emtSfAAI,Turkey:2642,Xaxis TV,2016-09-16,2016-09-18,2000,Teknosa0916_Back_To_School_Preroll_Midyo_MC,Net Cost (Calc Margin),MediaTrader,Midyo,60000,300,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.85,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1980,012i0000001EB0yAAG,Teknosa0916_Back_To_School_Preroll_MC
0063100000emtT5AAI,Turkey:2649,Xaxis Rich Media,2016-09-01,2016-09-30,2000,Teknosa0916_Disney_Iletisimi_interstitial_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,500000,625,Externally Managed,Triggers,Interstitial,4.25,cpm,0.6875,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,2125,012i0000001EB0yAAG,Teknosa0916_Disney_Iletisimi_interstitial_MC
0063100000emtT5AAI,Turkey:1721,Xaxis Rich Media,2016-09-01,2016-09-30,2025.08,Teknosa0916_Disney_Iletisimi_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,850000,398.91,Externally Managed,Triggers,Interstitial,4.25,cpm,0.803,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,3612.5,012i0000001EB0yAAG,Teknosa0916_Disney_Iletisimi_interstitial_MC
0063100000emtT5AAI,Turkey:1878,Xaxis Rich Media,2016-09-01,2016-09-30,1500,Teknosa0916_Disney_Iletisimi_interstitial_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,400000,1000,Externally Managed,Triggers,Interstitial,4.25,cpm,0.3333,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1700,012i0000001EB0yAAG,Teknosa0916_Disney_Iletisimi_interstitial_MC
0063100000emtSlAAI,Turkey:1051,Xaxis TV,2016-09-20,2016-09-22,3656.5,Teknosa0916_Turuncu_indirim_20-22Eylul_Preroll_Fox_MC,Net Cost (Calc Margin),MediaTrader,Fox,100000,1000,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.7265,From spreadsheet: Turkey | Campaign Data,Online Video,Video,3300,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_20-22Eylul_Preroll_MC
0063100000emtSlAAI,Turkey:3009,Xaxis TV,2016-09-20,2016-09-22,2000,Teknosa0916_Turuncu_indirim_20-22Eylul_Preroll_Midyo_MC,Net Cost (Calc Margin),MediaTrader,Midyo,60000,300,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.85,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1980,012i0000001EB0yAAG,Teknosa0916_Turuncu_indirim_20-22Eylul_Preroll_MC
